id;documento
1;"<b>Indivíduo de numero 1 registrado pela equipe do Trecho 04 na cidade de Penha (Santa Catarina), atraves de monitoramento do tipo Acionamento com a mare Vazante e vento Sudoeste. Espécie: Chelonia mydas, Juvenil Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Rochoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
2;"<b>Indivíduo de numero 2 registrado pela equipe do Trecho 04 na cidade de Bombinhas (Santa Catarina), atraves de monitoramento do tipo Regular com a mare Enchente e vento Noroeste. Espécie: Nannopterum brasilianum, Indeterminado Não ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
3;"<b>Indivíduo de numero 3 registrado pela equipe do Trecho 05 na cidade de Araquari,Balneário Barra Do Sul,Barra Velha (Santa Catarina), atraves de monitoramento do tipo Acionamento com a mare Vazante e vento N/A. Espécie: Caretta caretta, Indeterminado Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
4;"<b>Indivíduo de numero 4 registrado pela equipe do Trecho 04 na cidade de Navegantes (Santa Catarina), atraves de monitoramento do tipo Regular com a mare Vazante e vento Sudoeste. Espécie: Chelonia mydas, Juvenil Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
5;"<b>Indivíduo de numero 5 registrado pela equipe do Trecho 04 na cidade de Bombinhas (Santa Catarina), atraves de monitoramento do tipo Regular com a mare Enchente e vento Sudoeste. Espécie: Eretmochelys imbricata, Juvenil Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
6;"<b>Indivíduo de numero 6 registrado pela equipe do Trecho 05 na cidade de Itapoá (Santa Catarina), atraves de monitoramento do tipo Regular com a mare Vazante e vento Sudoeste. Espécie: Chelonia mydas, Indeterminado Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
7;"<b>Indivíduo de numero 7 registrado pela equipe do Trecho 05 na cidade de São Francisco Do Sul (Santa Catarina), atraves de monitoramento do tipo Regular com a mare Vazante e vento N/A. Espécie: Chelonia mydas, Indeterminado Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
8;"<b>Indivíduo de numero 8 registrado pela equipe do Trecho 05 na cidade de São Francisco Do Sul (Santa Catarina), atraves de monitoramento do tipo Regular com a mare Vazante e vento N/A. Espécie: Caretta caretta, Indeterminado Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
9;"<b>Indivíduo de numero 9 registrado pela equipe do Trecho 04 na cidade de Penha (Santa Catarina), atraves de monitoramento do tipo Regular com a mare Enchente e vento Sul. Espécie: Chelonia mydas, Juvenil Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Rochoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
10;"<b>Indivíduo de numero 10 registrado pela equipe do Trecho 04 na cidade de Bombinhas (Santa Catarina), atraves de monitoramento do tipo Regular com a mare Vazante e vento Sudeste. Espécie: Fregata magnificens, Indeterminado Não ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
11;"<b>Indivíduo de numero 11 registrado pela equipe do Trecho 05 na cidade de Araquari,Balneário Barra Do Sul,Barra Velha (Santa Catarina), atraves de monitoramento do tipo Regular com a mare Enchente e vento Sudeste. Espécie: Caretta caretta, Indeterminado Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
12;"<b>Indivíduo de numero 12 registrado pela equipe do Trecho 04 na cidade de Itapema (Santa Catarina), atraves de monitoramento do tipo Regular com a mare Vazante e vento Sudoeste. Espécie: Chelonia mydas, Juvenil Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
13;"<b>Indivíduo de numero 13 registrado pela equipe do Trecho 04 na cidade de Balneário Piçarras (Santa Catarina), atraves de monitoramento do tipo Regular com a mare Vazante e vento Sudoeste. Espécie: Nannopterum brasilianum, Juvenil Não ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
14;"<b>Indivíduo de numero 14 registrado pela equipe do Trecho 01 na cidade de Imbituba (Santa Catarina), atraves de monitoramento do tipo Acionamento com a mare Vazante e vento Sudoeste. Espécie: Lepidochelys olivacea, Juvenil Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
15;"<b>Indivíduo de numero 15 registrado pela equipe do Trecho 06 na cidade de Guaratuba (Paraná), atraves de monitoramento do tipo Acionamento com a mare Enchente e vento Sul. Espécie: Chelonia mydas, Juvenil Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 3 e Não apresentava oleo.</b><br>"
16;"<b>Indivíduo de numero 16 registrado pela equipe do Trecho 05 na cidade de São Francisco Do Sul (Santa Catarina), atraves de monitoramento do tipo Acionamento com a mare Vazante e vento Sudeste. Espécie: Caretta caretta, Indeterminado Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
17;"<b>Indivíduo de numero 17 registrado pela equipe do Trecho 01 na cidade de Laguna (Santa Catarina), atraves de monitoramento do tipo Regular com a mare Vazante e vento Sudoeste. Espécie: Pontoporia blainvillei, Juvenil Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
18;"<b>Indivíduo de numero 18 registrado pela equipe do Trecho 01 na cidade de Laguna (Santa Catarina), atraves de monitoramento do tipo Regular com a mare Vazante e vento Sudoeste. Espécie: Chelonia mydas, Adulto Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
19;"<b>Indivíduo de numero 19 registrado pela equipe do Trecho 05 na cidade de São Francisco Do Sul (Santa Catarina), atraves de monitoramento do tipo Acionamento com a mare Indeterminado e vento Sul. Espécie: Sula leucogaster, Juvenil Não ,,,esta ameacada de extincao. Foi encontrado Vivo em ambiente Arenoso com o Cod de carcaca 1 e Não apresentava oleo.</b><br>"
20;"<b>Indivíduo de numero 20 registrado pela equipe do Trecho 04 na cidade de Barra Velha (Santa Catarina), atraves de monitoramento do tipo Regular com a mare Vazante e vento Sul. Espécie: Chelonia mydas, Juvenil Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
21;"<b>Indivíduo de numero 21 registrado pela equipe do Trecho 04 na cidade de Barra Velha (Santa Catarina), atraves de monitoramento do tipo Regular com a mare Vazante e vento Sul. Espécie: Chelonia mydas, Juvenil Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
22;"<b>Indivíduo de numero 22 registrado pela equipe do Trecho 04 na cidade de Barra Velha (Santa Catarina), atraves de monitoramento do tipo Regular com a mare Vazante e vento Sul. Espécie: Chelonia mydas, Juvenil Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
23;"<b>Indivíduo de numero 23 registrado pela equipe do Trecho 05 na cidade de São Francisco Do Sul (Santa Catarina), atraves de monitoramento do tipo Regular com a mare Enchente e vento N/A. Espécie: Sula leucogaster, Juvenil Não ,,,esta ameacada de extincao. Foi encontrado Vivo em ambiente Arenoso com o Cod de carcaca 1 e Não apresentava oleo.</b><br>"
24;"<b>Indivíduo de numero 24 registrado pela equipe do Trecho 05 na cidade de Balneário Barra Do Sul (Santa Catarina), atraves de monitoramento do tipo Acionamento com a mare Indeterminado e vento N/A. Espécie: Sula leucogaster, Juvenil Não ,,,esta ameacada de extincao. Foi encontrado Vivo em ambiente Outros com o Cod de carcaca 1 e Não apresentava oleo.</b><br>"
25;"<b>Indivíduo de numero 25 registrado pela equipe do Trecho 06 na cidade de Guaraqueçaba (Paraná), atraves de monitoramento do tipo Regular com a mare Vazante e vento Sudoeste. Espécie: Caretta caretta, Juvenil Sim ,,,esta ameacada de extincao. Foi encontrado Vivo em ambiente Arenoso com o Cod de carcaca 1 e Não apresentava oleo.</b><br>"
26;"<b>Indivíduo de numero 26 registrado pela equipe do Trecho 06 na cidade de Matinhos,Pontal Do Paraná (Paraná), atraves de monitoramento do tipo Acionamento com a mare Indeterminado e vento Sul. Espécie: Stenella frontalis, Juvenil Não ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
27;"<b>Indivíduo de numero 27 registrado pela equipe do Trecho 06 na cidade de Guaratuba (Paraná), atraves de monitoramento do tipo Acionamento com a mare Indeterminado e vento Sul. Espécie: Sotalia guianensis, Adulto Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 2 e Não apresentava oleo.</b><br>"
28;"<b>Indivíduo de numero 28 registrado pela equipe do Trecho 01 na cidade de Imbituba (Santa Catarina), atraves de monitoramento do tipo Regular com a mare Enchente e vento Sul. Espécie: Larus dominicanus, Juvenil Não ,,,esta ameacada de extincao. Foi encontrado Vivo em ambiente Arenoso com o Cod de carcaca 1 e Não apresentava oleo.</b><br>"
29;"<b>Indivíduo de numero 29 registrado pela equipe do Trecho 04 na cidade de Penha (Santa Catarina), atraves de monitoramento do tipo Acionamento com a mare Enchente e vento Oeste. Espécie: Chelonia mydas, Juvenil Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
30;"<b>Indivíduo de numero 30 registrado pela equipe do Trecho 05 na cidade de São Francisco Do Sul (Santa Catarina), atraves de monitoramento do tipo Acionamento com a mare Vazia e vento Sudeste. Espécie: Chelonia mydas, Indeterminado Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
31;"<b>Indivíduo de numero 31 registrado pela equipe do Trecho 04 na cidade de Penha (Santa Catarina), atraves de monitoramento do tipo Regular com a mare Enchente e vento Oeste. Espécie: Chelonia mydas, Juvenil Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
32;"<b>Indivíduo de numero 32 registrado pela equipe do Trecho 02 na cidade de Palhoça (Santa Catarina), atraves de monitoramento do tipo Regular com a mare Vazante e vento N/A. Espécie: Chelonia mydas, Juvenil Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
33;"<b>Indivíduo de numero 33 registrado pela equipe do Trecho 06 na cidade de Paranaguá (Paraná), atraves de monitoramento do tipo Regular com a mare Vazante e vento Sudoeste. Espécie: Chelonia mydas, Juvenil Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
34;"<b>Indivíduo de numero 34 registrado pela equipe do Trecho 02 na cidade de Garopaba (Santa Catarina), atraves de monitoramento do tipo Regular com a mare Vazia e vento Sudeste. Espécie: Puffinus puffinus, Indeterminado Não ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 5 e Não apresentava oleo.</b><br>"
35;"<b>Indivíduo de numero 35 registrado pela equipe do Trecho 01 na cidade de Laguna (Santa Catarina), atraves de monitoramento do tipo Acionamento com a mare Vazante e vento Nordeste. Espécie: Chelonia mydas, Juvenil Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
36;"<b>Indivíduo de numero 36 registrado pela equipe do Trecho 01 na cidade de Laguna (Santa Catarina), atraves de monitoramento do tipo Acionamento com a mare Vazante e vento Nordeste. Espécie: Chelonia mydas, Juvenil Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
37;"<b>Indivíduo de numero 37 registrado pela equipe do Trecho 05 na cidade de São Francisco Do Sul (Santa Catarina), atraves de monitoramento do tipo Acionamento com a mare Enchente e vento Nordeste. Espécie: Chelonia mydas, Indeterminado Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Outros com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
38;"<b>Indivíduo de numero 38 registrado pela equipe do Trecho 01 na cidade de Imbituba (Santa Catarina), atraves de monitoramento do tipo Regular com a mare Enchente e vento Nordeste. Espécie: Chelonia mydas, Juvenil Sim ,,,esta ameacada de extincao. Foi encontrado Morto em ambiente Arenoso com o Cod de carcaca 4 e Não apresentava oleo.</b><br>"
